"Name","DisplayName","Status"
"WSearch","Windows Search","Running"
"wscsvc","Security Center","Running"
"WpnUserService_2f9e39","Windows Push Notifications User Service_2f9e39","Running"
"WpnService","Windows Push Notifications System Service","Running"
"wlidsvc","Microsoft Account Sign-in Assistant","Running"
"WinRM","Windows Remote Management (WS-Management)","Running"
"Winmgmt","Windows Management Instrumentation","Running"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running"
"WindowsAzureGuestAgent","Windows Azure Guest Agent","Running"
"WinDefend","Microsoft Defender Antivirus Service","Running"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running"
"Wcmsvc","Windows Connection Manager","Running"
"WaaSMedicSvc","Windows Update Medic Service","Running"
"W32Time","Windows Time","Running"
